127.0.0.1, 2014-12-18 14:34:51, GET, /, HTTP/1.1, 303, 0.001109
127.0.0.1, 2014-12-18 14:34:52, GET, /welcome/default/index, HTTP/1.1, 200, 1.142159
127.0.0.1, 2014-12-18 14:34:52, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000888
127.0.0.1, 2014-12-18 14:34:52, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001339
127.0.0.1, 2014-12-18 14:34:52, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001612
127.0.0.1, 2014-12-18 14:34:52, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000974
127.0.0.1, 2014-12-18 14:34:52, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001481
127.0.0.1, 2014-12-18 14:34:52, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000524
127.0.0.1, 2014-12-18 14:34:52, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000265
127.0.0.1, 2014-12-18 14:34:52, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001247
127.0.0.1, 2014-12-18 14:34:52, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000670
127.0.0.1, 2014-12-18 14:34:52, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001293
127.0.0.1, 2014-12-18 14:34:52, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000794
127.0.0.1, 2014-12-18 14:34:52, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000440
127.0.0.1, 2014-12-18 14:34:53, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.002001
127.0.0.1, 2014-12-18 14:34:53, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001041
127.0.0.1, 2014-12-18 14:34:53, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001714
